Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Funding Details,Funding Text 1,Funding Text 2,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Kennedy S., Bumpass L.","25028222500;7004675437;","Cohabitation and children's living arrangements: New estimates from the United States",2008,"Demographic Research","19",, 47,"1663","1692",,312,"10.4054/DemRes.2008.19.4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-52649156524&doi=10.4054%2fDemRes.2008.19.4&partnerID=40&md5=430d228c28b0c8a8072806d8ca3b1d43","Minnesota Population Center, University of Minnesota, Minneapolis, MN, United States; Center for Demography and Ecology, University of Wisconsin-Madison, Madison, WI, United States","Kennedy, S., Minnesota Population Center, University of Minnesota, Minneapolis, MN, United States; Bumpass, L., Center for Demography and Ecology, University of Wisconsin-Madison, Madison, WI, United States","This paper uses the 1995 and 2002 waves of the National Survey of Family Growth to examine recent trends in cohabitation in the United States. We find increases in both the prevalence and duration of unmarried cohabitation. Cohabitation continues to transform children's family lives, as children are increasingly born to cohabiting mothers (18% during 1997-2001) or later experience their mother's entry into a cohabiting union. Consequently, we estimate that two-fifths of all children spend some time in a cohabiting family by age 12. Because of substantial missing data in the 2002 NSFG, we are unable to produce new estimates of divorce or of children's time in single-parent families. Nonetheless, our results point to the steady growth of cohabitation and to the evolving role of cohabitation in U.S. family life. © 2008 Kennedy & Bumpass.",,,"Eunice Kennedy Shriver National Institute of Child Health and Human Development, NICHD: F32HD048063, R24HD047873",,,"Kennedy, S.; Minnesota Population Center, , Minneapolis, MN, United States; email: kenne503@umn.edu",,,14359871,,,,"English","Demogr. Res.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-52649156524
"Sobotka T., Toulemon L.","35249538300;6602481524;","Overview Chapter 4: Changing family and partnership behaviour: Common trends and persistent diversity across Europe",2008,"Demographic Research","19",, 6,"85","138",,223,"10.4054/DemRes.2008.19.6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-46849101522&doi=10.4054%2fDemRes.2008.19.6&partnerID=40&md5=f0fe3f0b27b6670ab0d9a383bddf19b2","Vienna Institute of Demography (VID), Austria; Institut National d'Études Démographiques (INED), France","Sobotka, T., Vienna Institute of Demography (VID), Austria; Toulemon, L., Institut National d'Études Démographiques (INED), France","Following the era of the 'golden age of marriage' and the baby boom in the 1950s and 1960s, marriage has declined in importance, and its role as the main institution on which family relations are built has been eroded across Europe. Union formation most often takes place without a marriage. Family and living arrangements are currently heterogeneous across Europe, but all countries seem to be making the same shifts: towards fewer people living together as a couple, especially in marriage; an increased number of unmarried couples; more children born outside marriage; and fewer children living with their two parents. The relationship between these changing living arrangements, especially the decline of marriage, on the one hand, and the overall level of fertility, on the other, is not straightforward. In most countries, marriage rates and fertility declined simultaneously. However, the aggregate relationship between marriage and fertility indices has moved from negative (fewer marriages imply fewer births) to positive (fewer marriages imply more births). Thus, the decline of marriage, which is a part of the second demographic transition (see Overview Chapter 6), cannot be considered an important cause of the current low fertility level in many European countries. On the contrary, in European countries where the decline of marriage has been less pronounced, fertility levels are currently lower than in countries where new living arrangements have become most common.",,,,,,"Sobotka, T.; Vienna Institute of Demography (VID)Austria; email: tomas.sobotka@oeaw.ac.at",,,14359871,,,,"English","Demogr. Res.",Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-46849101522
"Surkyn J., Lesthaeghe R.","7801491147;6602172967;","Value orientation and the Second Demographic Transition (SDT) in northern, western and southern Europe: An update",2004,"Demographic Research","10","SUPPL. 3",,"45","86",,214,"10.4054/demres.2004.s3.3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-4344590172&doi=10.4054%2fdemres.2004.s3.3&partnerID=40&md5=5bc9a1445bd4de389847c988d0b4c695","Interface Demography, Vrije Universiteit Brussel, Brussel, Belgium","Surkyn, J., Interface Demography, Vrije Universiteit Brussel, Brussel, Belgium; Lesthaeghe, R., Interface Demography, Vrije Universiteit Brussel, Brussel, Belgium","The core issue in this article is the empirical tracing of the connection between a variety of value orientations and the life course choices concerning living arrangements and family formation. The existence of such a connection is a crucial element in the socalled theory of the Second Demographic Transition (SDT). The underlying model is of a recursive nature and based on two effects: firstly, values-based self-selection of individuals into alternative living arrangement or household types, and secondly, event-based adaptation of values to the newly chosen household situation. Any testing of such a recursive model requires the use of panel data. Failing these, only ""footprints"" of the two effects can be derived and traced in cross-sectional data. Here, use is made of the latest round of the European Values Surveys of 1999-2000, mainly because no other source has such a large selection of value items. The comparison involves two Iberian countries, three western European ones, and two Scandinavian samples. The profiles of the value orientations are based on 80 items which cover a variety of dimensions (e.g. religiosity, ethics, civil morality, family values, social cohesion, expressive values, gender role orientations, trust in institutions, protest proneness and post-materialism, tolerance for minorities etc.). These are analysed according to eight different household positions based on the transitions to independent living, cohabitation and marriage, parenthood and union dissolution. Multiple Classification Analysis (MCA) is used to control for confounding effects of other relevant covariates (age, gender, education, economic activity and stratification, urbanity). Subsequently, Correspondence Analysis is used to picture the proximities between the 80 value items and the eight household positions. Very similar value profiles according to household position are found for the three sets of countries, despite the fact that the onset of the SDT in Scandinavia precedes that in the Iberian countries by roughly twenty years. Moreover, the profile similarity remains intact when the comparison is extended to an extra group of seven formerly communist countries in central and Eastern Europe. Such pattern robustness is supportive of the contention that the ideational or ""culturalfactor is indeed a non- redundant and necessary (but not a sufficient) element in the explanation of the demographic changes of the SDT. Moreover, the profile similarity also points in the direction of the operation of comparable mechanisms of selection and adaptation in the contrasting European settings. © 2004 Max-Planck-Gesellschaft.",,,,,,"Surkyn, J.; Interface Demography, , Brussel, Belgium; email: jrsurkyn@vub.ac.be",,"Max Planck Institute for Demographic Research",14359871,,,,"English","Demogr. Res.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-4344590172
"Skirbekk V.","57202564482;","Fertility trends by social status",2008,"Demographic Research","18",, 5,"145","180",,197,"10.4054/DemRes.2008.18.5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-42449163442&doi=10.4054%2fDemRes.2008.18.5&partnerID=40&md5=ca976d70ad81910c51fa6e5fb8a77bce","International Institute for Applied Systems Analysis, Austria","Skirbekk, V., International Institute for Applied Systems Analysis, Austria","This article discusses how fertility relates to social status with the use of a new dataset, several times larger than the ones used so far. The status-fertility relation is investigated over several centuries, across world regions and by the type of status-measure. The study reveals that as fertility declines, there is a general shift from a positive to a negative or neutral status-fertility relation. Those with high income/wealth or high occupation/social class switch from having relatively many to fewer or the same number of children as others. Education, however, depresses fertility for as long as this relation is observed (from early in the 20th century). © 2008 Skirbekk.",,,,,,"Skirbekk, V.; International Institute for Applied Systems AnalysisAustria; email: skirbekk@iiasa.ac.at",,,14359871,,,,"English","Demogr. Res.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-42449163442
"Raley R.K., Bumpass L.","55666161900;7004675437;","The topography of the divorce plateau: Levels and trends in union stability in the United States after 1980",2003,"Demographic Research","8",,,"245","259",,190,"10.4054/demres.2003.8.8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-2942755723&doi=10.4054%2fdemres.2003.8.8&partnerID=40&md5=4367e5ab0c5d6fe9543c3627a5867f1d","Department of Sociolgy, University of Texas, Austin, TX, United States; Center for Demography and Ecology, University of Wisconsin, Madison, WI, United States","Raley, R.K., Department of Sociolgy, University of Texas, Austin, TX, United States; Bumpass, L., Center for Demography and Ecology, University of Wisconsin, Madison, WI, United States","The probability of divorce in the U.S. has remained constant for the last two decades at about ""half of all marriages."" While this estimate is well established, and marked differentials in divorce rates are well known, there are no reliable estimates of differences in the lifetime probability of divorce. Using data from the 1990 June CPS, we document very large differentials by race, age at marriage, and education in the probability that recent cohorts of marriage will end in separation or divorce. Then, using data from the 1995 NSFG, we find important increases in differentials in marital dissolution, and especially in all unions, during this period of stable aggregate rates. These results indicate that examining only marital transitions obscures the growth in family instability that has resulted among some groups because an increasing proportion of unions began as cohabitation. © 2003 Max-Planck-Gesellschaft.","Cohabitation; Divorce; USA",,,,,"Raley, R.K.; Department of Sociolgy, , Austin, TX, United States; email: kraley@prc.utexas.edu",,"Max Planck Institute for Demographic Research",14359871,,,,"English","Demogr. Res.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-2942755723
"Sobotka T.","35249538300;","Overview chapter 6: The diverse faces of the second demographic transition in Europe",2008,"Demographic Research","19",, 8,"171","224",,164,"10.4054/DemRes.2008.19.8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-46849096732&doi=10.4054%2fDemRes.2008.19.8&partnerID=40&md5=c227383020337e27c01e5cb327f15637","Vienna Institute of Demography, Austria","Sobotka, T., Vienna Institute of Demography, Austria","This chapter discusses the concept of the second demographic transition (SDT) and its relevance for explaining the ongoing changes in family and fertility patterns across Europe. It takes a closer look at the shifts in values and attitudes related to family, reproduction, and children, and their representation in different chapters in this collection. It re-examines the link between the second demographic transition and fertility, highlights its strong positive association with fertility at later childbearing ages, and suggests that the transition does not necessarily lead to subreplacement fertility levels. Subsequently, it provides an extensive discussion on the progression of the SDT behind the former 'Iron Curtain.' To explain some apparent contradictions in this process, it employs a conceptual model of 'readiness, willingness, and ability' (RWA) advocated by Lesthaeghe and Vanderhoeft (2001). It also explores the multifaceted nature of the second demographic transition between different social groups, and points out an apparent paradox: whereas, lower-educated individuals often embrace values that can be characterised as rather traditional, they also frequently manifest family behaviour associated with the transition, such as non-marital childbearing, high partnership instability, and high prevalence of long-term cohabitation. This suggests that there may be two different pathways of the progression of the second demographic transition. The concluding section points out the role of structural constraints for the diffusion of the transition among disadvantaged social strata, highlights the importance of the 'gender. revolution' for the SDT trends, and discusses the usefulness of the SDT framework. © 2008 Sobotka.",,,,,,"Sobotka, T.; Vienna Institute of DemographyAustria; email: tomas.sobotka@oeaw.ac.at",,,14359871,,,,"English","Demogr. Res.",Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-46849096732
"Sobotka T.","35249538300;","Overview chapter 7: The rising importance of migrants for childbearing in Europe",2008,"Demographic Research","19",, 9,"225","248",,148,"10.4054/DemRes.2008.19.9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-46949099689&doi=10.4054%2fDemRes.2008.19.9&partnerID=40&md5=754639f25117ab1e6fe43d692b3462f8","Vienna Institute of Demography, Austria","Sobotka, T., Vienna Institute of Demography, Austria","This contribution looks at the influence of immigration on childbearing trends in the countries of Western, Northern and Southern Europe, which have received relatively large numbers of immigrants during the last decades. It analyses the contribution of migrants to the total number of births and compares fertility rates of migrant women with the fertility rates of native women, pointing out huge diversity between migrant groups. It also discusses the evidence regarding the progressive 'assimilation' in migrants' fertility to the local fertility patterns and analyses the net impact of migrants on period fertility rates. This review reveals that migrant women typically retain substantially higher levels of period fertility than the 'native' populations, but this difference typically diminishes over time and with the duration of their stay in a country. Immigrants contribute substantially to the total number of births and their share of total births has increased in the last decade, exceeding in some countries one fifth of the recorded live births. However, the 'net effect' of the higher fertility of migrants on the period total fertility of particular countries remains relatively small, typically between 0.05 and 0.10 in absolute terms. © 2008 Sobotka.",,,,,,"Sobotka, T.; Vienna Institute of DemographyAustria; email: tomas.sobotka@oeaw.ac.at",,,14359871,,,,"English","Demogr. Res.",Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-46949099689
"Lyngstad T.H., Jalovaara M.","6506133270;6507505890;","A review of the antecedents of union dissolution",2010,"Demographic Research","23",,,"257","292",,147,"10.4054/DemRes.2010.23.10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78049478925&doi=10.4054%2fDemRes.2010.23.10&partnerID=40&md5=9a74a69d9a369618851948791fe6e6af","Department of Sociology and Human Geography, University of Oslo, PO Box 1096 Blindern, 0317 OSLO, Norway; Department of Social Research, University of Helsinki, Finland","Lyngstad, T.H., Department of Sociology and Human Geography, University of Oslo, PO Box 1096 Blindern, 0317 OSLO, Norway; Jalovaara, M., Department of Social Research, University of Helsinki, Finland","The question of what factors contribute to the stability of coresidential partnerships has attracted the attention of many social scientists. This study summarizes recent research on the determinants of union dissolution within a set of substantive themes. Special emphasis is placed on the past two decades of research. European as well as American contributions are considered. © 2010.",,,,,,"Lyngstad, T.H.; Department of Sociology and Human Geography, PO Box 1096 Blindern, 0317 OSLO, Norway; email: t.h.lyngstad@sosgeo.uio.no",,,14359871,,,,"English","Demogr. Res.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-78049478925
"Vikat A., Spéder Z., Beets G., Billari F.C., Bühler C., Désesquelles A., Fokkema T., Hoem J.M., MacDonald A., Neyer G., Pailhé A., Pinnelli A., Solaz A.","6603376229;14919824200;56284200700;6603751374;7004676121;15051584200;6506652123;6603869616;36985833800;6602861368;22953938800;6603575583;57203548882;","Generations and Gender Survey (GGS): Towards a better understanding of relationships and processes in the life course",2007,"Demographic Research","17",, 14,"389","440",,146,"10.4054/DemRes.2007.17.14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-36749036120&doi=10.4054%2fDemRes.2007.17.14&partnerID=40&md5=0a9cb5324de2ddd1f6d2be90f33d4f21","Population Activities Unit, UN Economic Commission for Europe, Geneva, Switzerland; Demographic Research Institute, Hungarian Central Statistical Office, Budapest, Hungary; Netherlands Interdisciplinary Demographic Institute, The Hague, Netherlands; Institute of Quantitative Methods, Innocenzo Gasparini Institute for Economic Research, Università Bocconi, Milan, Italy; Max Planck Institute for Demographic Research, Rostock, Germany; Institut National d'Etudes Démographiques, Paris, France; Department of Demography, La Sapienza University, Rome, Italy","Vikat, A., Population Activities Unit, UN Economic Commission for Europe, Geneva, Switzerland; Spéder, Z., Demographic Research Institute, Hungarian Central Statistical Office, Budapest, Hungary; Beets, G., Netherlands Interdisciplinary Demographic Institute, The Hague, Netherlands; Billari, F.C., Institute of Quantitative Methods, Innocenzo Gasparini Institute for Economic Research, Università Bocconi, Milan, Italy; Bühler, C., Max Planck Institute for Demographic Research, Rostock, Germany; Désesquelles, A., Institut National d'Etudes Démographiques, Paris, France; Fokkema, T., Netherlands Interdisciplinary Demographic Institute, The Hague, Netherlands; Hoem, J.M., Max Planck Institute for Demographic Research, Rostock, Germany; MacDonald, A., Population Activities Unit, UN Economic Commission for Europe, Geneva, Switzerland; Neyer, G., Max Planck Institute for Demographic Research, Rostock, Germany; Pailhé, A., Institut National d'Etudes Démographiques, Paris, France; Pinnelli, A., Department of Demography, La Sapienza University, Rome, Italy; Solaz, A., Institut National d'Etudes Démographiques, Paris, France","The Generations and Gender Survey (GGS) is one of the two pillars of the Generations and Gender Programme designed to improve understanding of demographic and social development and of the factors that influence these developments. This article describes how the theoretical perspectives applied in the survey, the survey design and the questionnaire are related to this objective. The key features of the survey include panel design, multidisciplinarity, comparability, context-sensitivity, inter-generational and gender relationships. The survey applies the life course approach, focussing on the processes of childbearing, partnership dynamics, home leaving, and retiring. The selection of topics for data collection mainly follows the criterion of theoretically grounded relevance to explaining one or more of the mentioned processes. A large portion of the survey deals with economic aspects of life, such as economic activity, income, and economic well-being; a comparably large section is devoted to values and attitudes. Other domains covered by the survey include gender relationships, household composition and housing, residential mobility, social networks and private transfers, education, health, and public transfers. The third chapter of the article describes the motivations for their inclusion. The GGS questionnaire is designed for a face-to-face interview. It includes the core that each participating country needs to implement in full, and four optional submodules on nationality and ethnicity, on previous partners, on intentions of breaking up, and on housing, respectively. The participating countries are encouraged to include also the optional sub-modules to facilitate comparative research on these topics. © 2007 Vikat et al.",,,,,,"Vikat, A.; Population Activities Unit, , Geneva, Switzerland",,,14359871,,,,"English","Demogr. Res.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-36749036120
"Kulu H., Milewski N.","6602121876;56087990100;","Family change and migration in the life course: An introduction",2007,"Demographic Research","17",, 19,"567","590",,141,"10.4054/DemRes.2007.17.19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-37549051340&doi=10.4054%2fDemRes.2007.17.19&partnerID=40&md5=f330b0cb815a3cf6a942e0d96e2a2bac","Max Planck Institute for Demographic Research, Konrad-Zuse-Straße 1, 18057 Rostock, Germany; Institut National d'Études Démographiques, 133 Boulevard Davout, 75020 Paris, France","Kulu, H., Max Planck Institute for Demographic Research, Konrad-Zuse-Straße 1, 18057 Rostock, Germany; Milewski, N., Institut National d'Études Démographiques, 133 Boulevard Davout, 75020 Paris, France","This article is an introduction to Special Collection 6 of Demographic Research whose articles investigate the interrelations between the family and migration behaviour of individuals in industrialised countries. We first review the life-course approach and previous research on the interplay between family change and migration. We then describe the contribution of the articles in the collection. This is followed by a discussion of selected issues raised in the papers and an outline of future research avenues. We argue that the life-course approach and event-history analysis offer a fruitful framework to examine how individuals simultaneously structure their family lives and residential trajectories, and thus shape demographic change in society. © 2007 Kulu & Milewski.",,,,,,"Kulu, H.; Max Planck Institute for Demographic Research, Konrad-Zuse-Straße 1, 18057 Rostock, Germany; email: kulu@demogr.mpg.de",,,14359871,,,,"English","Demogr. Res.",Editorial,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-37549051340
